Birth Prob,State Index,Final Index,Pk,Prob,Merge Count,Last Pk
0.0003790750568613,95,95.0,95,0.0026535253980289,1,95.0
0.0003790750568613,49,49.0,49,0.0064442759666415,1,49.0
0.0015163002274452,442,614.0,442,0.0030326004548904,3,614.0
0.0003790750568613,1012,1012.0,1012,0.0026535253980289,1,1012.0
0.0015163002274452,447,609.0,447,0.0030326004548904,3,609.0
0.0003790750568613,609,609.0,609,0.0034116755117517,1,609.0
0.0003790750568613,81,81.0,81,0.0022744503411676,1,81.0
0.0015163002274452,453,641.0,453,0.0030326004548904,3,641.0
0.0015163002274452,455,565.0,455,0.0030326004548904,3,565.0
0.0015163002274452,456,830.0,456,0.0030326004548904,3,830.0
0.0003790750568613,155,155.0,155,0.0022744503411676,1,155.0
0.0003790750568613,762,762.0,762,0.0026535253980289,1,762.0
